query_id,applicant_id,feature_name,intervention_value
q00000,876bcd01-6bb4-a5b2-def4-8ff161a48e12,prior_loans_count,5.0
q00001,876bcd01-6bb4-a5b2-def4-8ff161a48e12,invoice_payment_delinquency_rate,0.08023712723227132
q00002,876bcd01-6bb4-a5b2-def4-8ff161a48e12,prior_loans_count,5.0
q00003,ca4b7fc8-e745-334f-52e7-039d6018b5f3,platform_active_months,25.0
q00004,ca4b7fc8-e745-334f-52e7-039d6018b5f3,stated_annual_revenue,977502.2972138582
q00005,ca4b7fc8-e745-334f-52e7-039d6018b5f3,application_channel,2.0
q00006,b1decd07-b1e9-44b2-343b-56738a8b7dac,recent_inquiries_count_6mo,4.0
q00007,b1decd07-b1e9-44b2-343b-56738a8b7dac,stated_annual_revenue,1493345.5968509426
q00008,b1decd07-b1e9-44b2-343b-56738a8b7dac,aggregate_credit_utilization,0.7892426761286483
q00009,8e4176ab-e812-9143-eb47-53105df4b22c,invoice_payment_delinquency_rate,0.06806841082392828
q00010,8e4176ab-e812-9143-eb47-53105df4b22c,existing_debt_obligations,6472.64525887089
q00011,8e4176ab-e812-9143-eb47-53105df4b22c,stated_time_in_business,2.6309901906030215
q00012,4b9ec9fb-e8d6-0f50-4f9a-4e2d58f12e20,invoice_payment_delinquency_rate,0.1619267782504928
q00013,4b9ec9fb-e8d6-0f50-4f9a-4e2d58f12e20,account_age_days,2847.0
q00014,4b9ec9fb-e8d6-0f50-4f9a-4e2d58f12e20,stated_annual_revenue,1322484.5785605628
q00015,8a41c551-e11e-ca4e-9023-affcb27ca5db,aggregate_credit_utilization,0.19745768537741754
q00016,8a41c551-e11e-ca4e-9023-affcb27ca5db,stated_time_in_business,10.197138323055777
q00017,8a41c551-e11e-ca4e-9023-affcb27ca5db,stated_annual_revenue,1793082.4010488512
q00018,e1a653fa-ec98-2fab-735a-b2f0faa305bd,application_channel,2.0
q00019,e1a653fa-ec98-2fab-735a-b2f0faa305bd,multi_lender_inquiry_count_30d,4.0
q00020,e1a653fa-ec98-2fab-735a-b2f0faa305bd,aggregate_credit_utilization,0.42945550435171315
q00021,03317c48-243d-13b2-f403-fd78d6823775,observed_revenue_trend_3mo,-0.3880536643515508
q00022,03317c48-243d-13b2-f403-fd78d6823775,invoice_payment_delinquency_rate,0.20863319618884638
q00023,03317c48-243d-13b2-f403-fd78d6823775,invoice_payment_delinquency_rate,0.06745678210584721
q00024,5285da8b-6328-69a7-83a3-593fa17231a2,payroll_regularity_score,0.7650679032766133
q00025,5285da8b-6328-69a7-83a3-593fa17231a2,owner_personal_credit_band,3.0
q00026,5285da8b-6328-69a7-83a3-593fa17231a2,prior_loans_count,4.0
q00027,7ae24dc7-d904-302a-5978-e0662337afb1,owner_personal_credit_band,1.0
q00028,7ae24dc7-d904-302a-5978-e0662337afb1,existing_debt_obligations,8924.853525271345
q00029,7ae24dc7-d904-302a-5978-e0662337afb1,existing_debt_obligations,7057.514181170483
q00030,a9b53140-7ae3-44f5-4fca-5e7e34c7f245,multi_lender_inquiry_count_30d,0.0
q00031,a9b53140-7ae3-44f5-4fca-5e7e34c7f245,employee_count_bucket,3.0
q00032,a9b53140-7ae3-44f5-4fca-5e7e34c7f245,requested_amount,21686.394037914783
q00033,93ae6891-0fbe-d371-3d6e-a30c8dd70d90,prior_loans_default_count,1.0
q00034,93ae6891-0fbe-d371-3d6e-a30c8dd70d90,invoice_payment_delinquency_rate,0.16480619739355384
q00035,93ae6891-0fbe-d371-3d6e-a30c8dd70d90,owner_personal_credit_band,3.0
q00036,2fb2e93b-063e-b20f-e321-af7491e057c7,recent_inquiries_count_6mo,4.0
q00037,2fb2e93b-063e-b20f-e321-af7491e057c7,owner_personal_credit_band,4.0
q00038,2fb2e93b-063e-b20f-e321-af7491e057c7,application_channel,2.0
q00039,8bf4122a-c116-b4f9-8321-f5e788d49561,recent_inquiries_count_6mo,2.0
q00040,8bf4122a-c116-b4f9-8321-f5e788d49561,existing_debt_obligations,9582.731590467265
q00041,8bf4122a-c116-b4f9-8321-f5e788d49561,existing_debt_obligations,8657.12891317153
q00042,69d58cb7-b758-eb84-f118-677ba485fc3e,observed_revenue_volatility,1.4361630121781344
q00043,69d58cb7-b758-eb84-f118-677ba485fc3e,stated_time_in_business,2.0937755160981313
q00044,69d58cb7-b758-eb84-f118-677ba485fc3e,vintage_years,8.196560994381736
q00045,d385e53d-ba49-7460-4d65-0524b5f7fe8e,existing_debt_obligations,5078.36818708379
q00046,d385e53d-ba49-7460-4d65-0524b5f7fe8e,observed_overdraft_count_3mo,4.0
q00047,d385e53d-ba49-7460-4d65-0524b5f7fe8e,stated_time_in_business,2.4066513900566973
